=======================================================
acc,=,23.0
use_set,=,libri
hold_sec,=,1.0
batch_size_val,=,70
continue_from,=,models/deepspeech_20.pth.tar
save_folder,=,models/
force_duration,=,-1.0
hold_idx,=,-1
start_epoch,=,-1
checkpoint,=,True
seed,=,1
model_path,=,models/deepspeech_final.pth.tar
batch_1_file,=,fd-1.0_bs1_gpuFalse.csv
n_trials,=,-1
cpu,=,1
=======================================================
batch_num,batch_latency,batch_duration_s,batch_seq_len,batch_size_kb,item_num,item_latency,item_duration_s,item_seq_len,item_size_kb,word_count,char_count,word_err_count,char_err_count,pred,target
data
1,7.37360095978,136.81,13736,4381.0,1,0.502047777176,1.285,129,41.164,2,7,0,0,A STORY,A STORY
1,7.37360095978,136.81,13736,4381.0,2,0.536804914474,1.42,143,45.484,1,9,0,0,DIRECTION,DIRECTION
1,7.37360095978,136.81,13736,4381.0,3,0.553586959839,1.485,149,47.564,2,9,2,4,FIRST TOO,VERSE TWO
1,7.37360095978,136.81,13736,4381.0,4,0.619732141495,1.63,164,52.204,2,7,1,2,OH AMIEL,OH EMIL
1,7.37360095978,136.81,13736,4381.0,5,0.645033121109,1.685,169,53.964,2,9,1,3,INDEED,INDEED AH
1,7.37360095978,136.81,13736,4381.0,6,0.644034147263,1.695,170,54.284,2,14,2,2,FAREWEL MADAME,FAREWELL MADAM
1,7.37360095978,136.81,13736,4381.0,7,0.675691843033,1.74,175,55.724,2,10,2,3,FOR ALCE,POOR ALICE
1,7.37360095978,136.81,13736,4381.0,8,0.695232868195,1.795,180,57.484,4,19,0,0,THERE JUST IN FRONT,THERE JUST IN FRONT
1,7.37360095978,136.81,13736,4381.0,9,0.697803020477,1.805,181,57.804,3,14,3,7,FA NSTERS NI,HANS STIRS NOT
1,7.37360095978,136.81,13736,4381.0,10,0.701585054398,1.81,182,57.964,1,6,1,3,THENISE,VENICE
1,7.37360095978,136.81,13736,4381.0,11,0.706121921539,1.81,182,57.964,2,12,1,1,MARIE SIHED,MARIE SIGHED
1,7.37360095978,136.81,13736,4381.0,12,0.705821990967,1.815,182,58.124,3,13,0,0,WHAT WAS THAT,WHAT WAS THAT
1,7.37360095978,136.81,13736,4381.0,13,0.713490009308,1.82,183,58.284,5,23,0,0,WILL YOU FORGIVE ME NOW,WILL YOU FORGIVE ME NOW
1,7.37360095978,136.81,13736,4381.0,14,0.707216978073,1.825,183,58.444,5,24,3,8,PAUST IX TO HIS THE,PAUL STICKS TO HIS THEME
1,7.37360095978,136.81,13736,4381.0,15,0.72366809845,1.87,188,59.884,2,5,1,2,I ME,AY ME
1,7.37360095978,136.81,13736,4381.0,16,0.735466003418,1.88,189,60.204,7,28,2,2,THERE'S NO FEAR OF THAT SIR,THERE IS NO FEAR OF THAT SIR
1,7.37360095978,136.81,13736,4381.0,17,0.739004850388,1.895,190,60.684,4,26,3,8,THEREA SHE SOMDENLY REMAR,THEN SHE SUDDENLY REMARKED
1,7.37360095978,136.81,13736,4381.0,18,0.741077184677,1.9,191,60.844,5,21,0,0,I MUST KNOW ABOUT YOU,I MUST KNOW ABOUT YOU
1,7.37360095978,136.81,13736,4381.0,19,0.74888420105,1.905,191,61.004,5,25,2,6,I DOITING YOUR KITCHEN,I DELIGHT IN YOUR KITCHEN
1,7.37360095978,136.81,13736,4381.0,20,0.75009393692,1.905,191,61.004,4,21,3,5,TINK YOU DORCASTER,THANK YOU DORCAS DEAR
