=======================================================
acc,=,23.0
use_set,=,libri
hold_sec,=,1.0
batch_size_val,=,6
continue_from,=,models/deepspeech_20.pth.tar
save_folder,=,models/
force_duration,=,-1.0
hold_idx,=,-1
start_epoch,=,-1
checkpoint,=,True
seed,=,1
model_path,=,models/deepspeech_final.pth.tar
batch_1_file,=,fd-1.0_bs1_gpuFalse.csv
n_trials,=,-1
cpu,=,1
=======================================================
batch_num,batch_latency,batch_duration_s,batch_seq_len,batch_size_kb,item_num,item_latency,item_duration_s,item_seq_len,item_size_kb,word_count,char_count,word_err_count,char_err_count,pred,target
data
1,1.32985210419,9.2,924,294.664,1,0.524481058121,1.285,129,41.164,2,7,0,0,A STORY,A STORY
1,1.32985210419,9.2,924,294.664,2,0.509863138199,1.42,143,45.484,1,9,0,0,DIRECTION,DIRECTION
1,1.32985210419,9.2,924,294.664,3,0.544100046158,1.485,149,47.564,2,9,2,4,FIRST TOO,VERSE TWO
1,1.32985210419,9.2,924,294.664,4,0.618342876434,1.63,164,52.204,2,7,1,2,OH AMIEL,OH EMIL
1,1.32985210419,9.2,924,294.664,5,0.62784910202,1.685,169,53.964,2,9,1,3,INDEED,INDEED AH
1,1.32985210419,9.2,924,294.664,6,0.635318994522,1.695,170,54.284,2,14,2,2,FAREWEL MADAME,FAREWELL MADAM
2,1.35220217705,10.775,1082,345.064,7,0.643695116043,1.74,175,55.724,2,10,2,3,FOR ALCE,POOR ALICE
2,1.35220217705,10.775,1082,345.064,8,0.681512832642,1.795,180,57.484,4,19,0,0,THERE JUST IN FRONT,THERE JUST IN FRONT
2,1.35220217705,10.775,1082,345.064,9,0.673641204834,1.805,181,57.804,3,14,3,7,FA NSTERS NI,HANS STIRS NOT
2,1.35220217705,10.775,1082,345.064,10,0.672931909561,1.81,182,57.964,1,6,1,3,THENISE,VENICE
2,1.35220217705,10.775,1082,345.064,11,0.669043064117,1.81,182,57.964,2,12,1,1,MARIE SIHED,MARIE SIGHED
2,1.35220217705,10.775,1082,345.064,12,0.666949987411,1.815,182,58.124,3,13,0,0,WHAT WAS THAT,WHAT WAS THAT
3,1.39744091034,11.19,1124,358.344,13,0.69087100029,1.82,183,58.284,5,23,0,0,WILL YOU FORGIVE ME NOW,WILL YOU FORGIVE ME NOW
3,1.39744091034,11.19,1124,358.344,14,0.673799037933,1.825,183,58.444,5,24,3,8,PAUST IX TO HIS THE,PAUL STICKS TO HIS THEME
3,1.39744091034,11.19,1124,358.344,15,0.719713926315,1.87,188,59.884,2,5,1,2,I ME,AY ME
3,1.39744091034,11.19,1124,358.344,16,0.685809850693,1.88,189,60.204,7,28,2,2,THERE'S NO FEAR OF THAT SIR,THERE IS NO FEAR OF THAT SIR
3,1.39744091034,11.19,1124,358.344,17,0.708411931992,1.895,190,60.684,4,26,3,8,THEREA SHE SOMDENLY REMAR,THEN SHE SUDDENLY REMARKED
3,1.39744091034,11.19,1124,358.344,18,0.713086128235,1.9,191,60.844,5,21,0,0,I MUST KNOW ABOUT YOU,I MUST KNOW ABOUT YOU
4,1.40611791611,11.49,1153,367.944,19,0.733043909073,1.905,191,61.004,5,25,2,6,I DOITING YOUR KITCHEN,I DELIGHT IN YOUR KITCHEN
4,1.40611791611,11.49,1153,367.944,20,0.72251701355,1.905,191,61.004,4,21,3,5,TINK YOU DORCASTER,THANK YOU DORCAS DEAR
4,1.40611791611,11.49,1153,367.944,21,0.722461938858,1.905,191,61.004,2,16,0,0,EXPLAIN YOURSELF,EXPLAIN YOURSELF
4,1.40611791611,11.49,1153,367.944,22,0.722977161407,1.915,192,61.324,4,18,0,0,HE KNOWS THEM BOTH,HE KNOWS THEM BOTH
4,1.40611791611,11.49,1153,367.944,23,0.735615968704,1.92,193,61.484,4,21,0,0,YOU ARE POSITIVE THEN,YOU ARE POSITIVE THEN
