=======================================================
acc,=,23.0
use_set,=,libri
hold_sec,=,1.0
batch_size_val,=,12
continue_from,=,models/deepspeech_20.pth.tar
save_folder,=,models/
force_duration,=,-1.0
hold_idx,=,-1
start_epoch,=,-1
checkpoint,=,True
seed,=,1
model_path,=,models/deepspeech_final.pth.tar
batch_1_file,=,fd-1.0_bs1_gpuFalse.csv
n_trials,=,-1
cpu,=,1
=======================================================
batch_num,batch_latency,batch_duration_s,batch_seq_len,batch_size_kb,item_num,item_latency,item_duration_s,item_seq_len,item_size_kb,word_count,char_count,word_err_count,char_err_count,pred,target
data
1,1.42621898651,19.975,2006,639.728,1,0.489910840988,19.975,2006,639.728,2,7,0,0,A STORY,A STORY
1,1.42621898651,19.975,2006,639.728,2,0.536998987198,1.42,143,45.484,1,9,0,0,DIRECTION,DIRECTION
1,1.42621898651,19.975,2006,639.728,3,0.545146226883,1.485,149,47.564,2,9,2,4,FIRST TOO,VERSE TWO
1,1.42621898651,19.975,2006,639.728,4,0.501991033554,1.63,164,52.204,2,7,1,2,OH AMIEL,OH EMIL
1,1.42621898651,19.975,2006,639.728,5,0.522148132324,1.685,169,53.964,2,9,1,3,INDEED,INDEED AH
1,1.42621898651,19.975,2006,639.728,6,0.522119045258,1.695,170,54.284,2,14,2,2,FAREWEL MADAME,FAREWELL MADAM
1,1.42621898651,19.975,2006,639.728,7,0.54816198349,1.74,175,55.724,2,10,2,3,FOR ALCE,POOR ALICE
1,1.42621898651,19.975,2006,639.728,8,0.560022115707,1.795,180,57.484,4,19,0,0,THERE JUST IN FRONT,THERE JUST IN FRONT
1,1.42621898651,19.975,2006,639.728,9,0.566871881485,1.805,181,57.804,3,14,3,7,FA NSTERS NI,HANS STIRS NOT
1,1.42621898651,19.975,2006,639.728,10,0.566376924515,1.81,182,57.964,1,6,1,3,THENISE,VENICE
1,1.42621898651,19.975,2006,639.728,11,0.568912029266,1.81,182,57.964,2,12,1,1,MARIE SIHED,MARIE SIGHED
1,1.42621898651,19.975,2006,639.728,12,0.566592216492,1.815,182,58.124,3,13,0,0,WHAT WAS THAT,WHAT WAS THAT
2,1.54298400879,22.68,2277,726.288,13,0.574527978897,22.68,2277,726.288,5,23,0,0,WILL YOU FORGIVE ME NOW,WILL YOU FORGIVE ME NOW
2,1.54298400879,22.68,2277,726.288,14,0.574245929718,1.825,183,58.444,5,24,3,8,PAUST IX TO HIS THE,PAUL STICKS TO HIS THEME
2,1.54298400879,22.68,2277,726.288,15,0.590102910995,1.87,188,59.884,2,5,1,2,I ME,AY ME
2,1.54298400879,22.68,2277,726.288,16,0.596067905426,1.88,189,60.204,7,28,2,2,THERE'S NO FEAR OF THAT SIR,THERE IS NO FEAR OF THAT SIR
